taxa;Taxon;Pathogen;Pathogenicity;Origin;Origin_verbatim;Origin_verbatim;Origin_details;;;"""=SE(CONTA.SE(G:G; J13)=0; ""NUOVO""; """")""";DATI FILTRA NUOVO - COPIA;
;Bauldia;N;N;E;Environmental;Soil, Freshwater;Environmental bacterium;;;;;
;Bdellovibrio;N;N;O;Ubiquitous;Soil, Water;Predatory bacteria;;;;;
;Bdellovibrionaceae OM27 clade;N;N;E;Environmental;Soil, Water;Predatory bacteria;;;;;
;Bdellovibrionota;N;N;O;Ubiquitous;Soil, Water;Phylum of predatory bacteria;;;;;
;Bdellovibrionota 0319-6G20;N;N;E;Environmental;Soil, Water;Predatory bacterium;;;;;
;Beggiatoa;N;N;E;Environmental;Water, Sediment;Sulfur-oxidizing environmental bacterium;;;;;
;Beggiatoaceae;N;N;E;Environmental;Sediment;Sulfur-oxidizing bacteria;;;;;
;Beijerinckiaceae;N;N;E;Environmental;Soil, Water;Nitrogen-fixing environmental bacteria;;;;;
;Beijerinckiaceae 28-YEA-48;N;N;E;Environmental;Soil, Water;Environmental isolate;;;;;
;Beijerinckiaceae alphaI cluster;N;N;E;Environmental;Soil, Water;Environmental isolate;;;;;
;Beijerinckiaceae FFCH5858;N;N;E;Environmental;Soil, Water;Environmental isolate;;;;;
;Beijerinckiaceae FukuN57;N;N;E;Environmental;Soil, Water;Environmental isolate;;;;;
;Beijerinckiaceae Neo-b11;N;N;E;Environmental;Soil, Water;Environmental isolate;;;;;
;Belnapia;N;N;E;Environmental;Soil;Environmental bacterium;;;;;
;Bergeyella;N;N;W;Anthropogenic;Oral cavity, Clinical;Opportunistic pathogen;;;;;
;Berkelbacteria;N;N;E;Environmental;Environment;Environmental isolate;;;;;
;Bermanella;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
S;Bermanella marisrubri;N;1;E;Environmental;Marine;Marine bacterioplankton;;;;;
G;Bernardetia;PP;1;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Bernardetiaceae;N;N;E;Environmental;Marine;Marine bacterial family;;;;;
;Beutenbergia;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Beutenbergiaceae;N;N;E;Environmental;Soil;Soil actinobacteria family;;;;;
;Bhargavaea;N;N;E;Environmental;Soil;Environmental actinobacteria;;;;;
F;Bifidobacteriaceae;PP;N;W;Anthropogenic;Gut;Human, animal gut microbiome;;;;;
;Bifidobacterium;P;2;W;Anthropogenic;Gut;Human, animal gut microbiome;;;;;
S;Bifidobacterium adolescentis;N;1;W;Anthropogenic;Gut;Human gut;;;;;
S;Bifidobacterium bifidum;N;1;W;Anthropogenic;Gut;Human gut;;;;;
S;Bifidobacterium catenulatum;N;1;W;Anthropogenic;Gut;Human gut;;;;;
S;Bifidobacterium longum;N;1;W;Anthropogenic;Gut;Human gut;;;;;
S;Bifidobacterium pseudocatenulatum;N;1;W;Anthropogenic;Gut;Human gut;;;;;
S;Bifidobacterium thermophilum;N;1;O;Ubiquitous;Gut;Human, animal gut;;;;;
;Bilophila;P;2;O;Ubiquitous;Gut, Sediment;Human, animal gut, anaerobic environmental;;;;;
G;Biostraticola;PP;1;E;Environmental;Soil;Environmental bacterium;;;;;
;Bizionia;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Blastocatella;N;N;E;Environmental;Soil;Soil bacterium;;;;;
;Blastocatellaceae;N;N;E;Environmental;Soil;Soil bacterial family;;;;;
;Blastocatellaceae JGI 0001001-H03;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Blastocatellaceae OLB17;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Blastocatellia;N;N;E;Environmental;Soil;Soil bacterial class;;;;;
;Blastocatellia 11-24;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Blastocatellia 45597;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Blastocatellia 45620;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Blastocatellia DS-100;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Blastochloris;N;N;E;Environmental;Freshwater, soil;Environmental bacterium;;;;;
;Blastococcus;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
S;Blastococcus aggregatus;N;1;E;Environmental;Soil;Soil bacterium;;;;;
G;Blastomonas;PP;1;E;Environmental;Freshwater, Marine;Environmental bacterium;;;;;
;Blastopirellula;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
S;Blastopirellula cremea;N;1;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Blattabacteriaceae;N;N;E;Environmental;Insect gut;Insect gut symbionts;;;;;
;Blattabacterium;N;N;E;Environmental;Insect gut;Insect gut symbiont;;;;;
G;Blautia;PP;1;O;Ubiquitous;Gut;Human, animal gut microbiome;;;;;
S;Blautia faecis;N;1;W;Anthropogenic;Gut;Human gut;;;;;
;Blautia massiliensis;N;N;W;Anthropogenic;Gut;Human gut;;;;;
S;Blautia obeum;N;1;W;Anthropogenic;Gut;Human gut;;;;;
S;Blautia wexlerae;N;1;W;Anthropogenic;Gut;Human gut;;;;;
;Bombilactobacillus;N;N;O;Ubiquitous;Gut, Fermented food;Bee gut, food-associated;;;;;
;Bordetella;P;2;W;Anthropogenic;Respiratory tract;Opportunistic pathogen;;;;;
G;Bosea;PP;1;E;Environmental;Soil, Water;Environmental bacterium;;;;;
S;Bosea sp 124;N;1;E;Environmental;Soil;Environmental isolate;;;;;
S;Bosea vaviloviae;N;1;E;Environmental;Soil;Environmental isolate;;;;;
;Boseongicola;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Bowmanella;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
G;Brachybacterium;PP;1;E;Environmental;Soil;Soil actinobacteria;;;;;
;Brachymonas;N;N;E;Environmental;Soil, Water;Environmental bacterium;;;;;
;Brachyspira;P;2;O;Ubiquitous;Gut;Human, animal gut pathogen;;;;;
;Brachyspirales LH041;N;N;W;Anthropogenic;Gut;Gut-associated bacteria;;;;;
;Brackiella;N;N;E;Environmental;Soil, Water;Environmental bacterium;;;;;
;Bradymonadaceae;N;N;E;Environmental;Soil, Water;Environmental predatory bacteria;;;;;
;Bradymonadales;N;N;E;Environmental;Soil, Water;Environmental predatory bacteria;;;;;
;Bradymonadales SKP-2;N;N;E;Environmental;Soil, Water;Environmental predatory bacterium;;;;;
;Bradymonas;N;N;E;Environmental;Soil, Water;Predatory environmental bacterium;;;;;
;Bradyrhizobium;N;N;O;Ubiquitous;Soil, Plant;Plant-associated nitrogen-fixer;;;;;
;Branchiibius;N;N;E;Environmental;Soil;Environmental actinobacteria;;;;;
;Brassicibacter;N;N;E;Environmental;Gut;Animal gut microbiome;;;;;
;Bremerella;N;N;E;Environmental;Soil, Water;Environmental bacterium;;;;;
;Breoghania;N;N;E;Environmental;Soil;Environmental actinobacteria;;;;;
G;Brevibacillus;PP;1;E;Environmental;Soil;Soil actinobacteria;;;;;
;Brevibacteriaceae;N;N;E;Environmental;Soil;Soil actinobacteria family;;;;;
;Brevibacterium;P;2;O;Ubiquitous;Soil, cheese;Soil, food-associated;;;;;
;Brevibacterium casei;P;2;W;Anthropogenic;Cheese, Fermented food;Food-associated microbiome;;;;;
;Brevibacterium ihuae;N;N;E;Environmental;Soil;Environmental isolate;;;;;
S;Brevibacterium ravenspurgense;N;1;E;Environmental;Soil;Environmental isolate;;;;;
;Brevifollis;N;N;E;Environmental;Water;Freshwater, environmental bacterium;;;;;
;Brevinema;N;N;E;Environmental;Animal gut;Found in host gut, environment;;;;;
;Brevundimonas;P;2;O;Ubiquitous;Soil, Water;Environmental, occasional anthropogenic;;;;;
;Brevundimonas diminuta;P;2;O;Ubiquitous;Water, Clinical;Environmental, opportunistic pathogen;;;;;
S;Brevundimonas halotolerans;N;1;E;Environmental;Marine,  saline soils;Environmental bacterium;;;;;
S;Brevundimonas mediterranea;N;1;E;Environmental;Marine;Marine bacterium;;;;;
;Brevundimonas sp DS20;P;2;E;Environmental;Water;Environmental isolate;;;;;
S;Brevundimonas subvibrioides;N;1;O;Ubiquitous;Soil, Water;Environmental, anthropogenic habitats;;;;;
;Brevundimonas vesicularis;P;2;O;Ubiquitous;Water, Clinical;Environmental, opportunistic pathogen;;;;;
;Breznakia;N;N;E;Environmental;Animal gut;Gut microbiome, often host-associated;;;;;
;Breznakibacter;N;N;E;Environmental;Animal, Termite gut;Insect gut symbiont;;;;;
;Brocadiae SM23-32;N;N;O;Ubiquitous;Wastewater, Sediment;Anammox bacteria in natural, engineered systems;;;;;
;Brocadiales;N;N;O;Ubiquitous;Sediment, Wastewater;Anammox group, nitrogen cycling;;;;;
;Brocadiales GWA2-50-13;N;N;W;Anthropogenic;Wastewater;Engineered system isolate;;;;;
G;Brochothrix;PP;1;W;Anthropogenic;Meat, food;Food spoilage bacteria;;;;;
S;Brochothrix thermosphacta;N;1;W;Anthropogenic;Meat, food;Food spoilage bacterium;;;;;
;Brooklawnia;N;N;E;Environmental;Soil;Environmental actinobacterium;;;;;
;Brucella;P;3;W;Anthropogenic;Animals, Human;Pathogen, host-associated;;;;;
;Brumimicrobium;N;N;E;Environmental;Marine Sediment;Environmental bacterium;;;;;
;Bryobacter;N;N;E;Environmental;Soil;Soil bacterium;;;;;
;Bryobacteraceae;N;N;E;Environmental;Soil;Soil bacterial family;;;;;
;Bryocella;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Buchnera;N;N;E;Environmental;Aphid gut;Insect symbiont, host-dependent;;;;;
G;Budvicia;PP;1;O;Ubiquitous;Human, Gut, Environment;Opportunistic pathogen, environmental;;;;;
;Burkholderia-Caballeronia-Paraburkholderia;N;N;O;Ubiquitous;Soil, Plant, Water;Environmental, plant-associated bacteria;;;;;
;Burkholderiaceae;N;N;E;Environmental;Soil, Water;Environmental bacterial family;;;;;
;Burkholderiales;N;N;E;Environmental;Soil, Water;Environmental order;;;;;
;Burkholderiales A21b;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Burkholderiales B1-7BS;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Burkholderiales bacterium 68 12;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Burkholderiales bacterium PBB3;N;N;E;Environmental;Soil, Water;Environmental isolate;;;;;
;Burkholderiales bacterium RIFCSPLOWO2 12 FULL 65 40;N;N;E;Environmental;Soil, Water;Environmental isolate;;;;;
;Burkholderiales EC94;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Burkholderiales MWH-UniP1 aquatic group;N;N;E;Environmental;Freshwater;Aquatic bacteria;;;;;
;Burkholderiales SC-I-84;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Burkholderiales T34;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Burkholderiales TRA3-20;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Burkholderiales UBA6140;N;N;E;Environmental;Soil;Environmental isolate;;;;;
G;Buttiauxella;PP;1;O;Ubiquitous;Gut, Water;Found in hosts, environmental waters;;;;;
;Butyricicoccaceae;N;N;W;Anthropogenic;Gut;Gut microbiome;;;;;
;Butyricicoccus;N;N;W;Anthropogenic;Gut;Gut microbiome;;;;;
;Butyricimonas;N;N;W;Anthropogenic;Gut;Gut microbiome;;;;;
;Butyrivibrio;P;2;W;Anthropogenic;Gut;Gut microbiome;;;;;
S;Butyrivibrio crossotus;N;1;W;Anthropogenic;Gut;Gut microbiome;;;;;
;Byssovorax;N;N;E;Environmental;Soil;Environmental isolate;;;;;
;Bythopirellula;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Bythopirellula goksoyri;N;N;E;Environmental;Marine;Marine isolate;;;;;
;Caedibacter;N;N;E;Environmental;Amoeba, Host organism;Endosymbiont of protozoa;;;;;
S;Caedibacter taeniospiralis group;N;1;E;Environmental;Amoeba, Host organism;Protozoan symbiont;;;;;
;Caedibacteraceae;N;N;E;Environmental;Amoeba, Host organism;Family of protozoan symbionts;;;;;
;Caenarcaniphilales;N;N;E;Environmental;Anaerobic Sediment;Environmental anaerobes;;;;;
;Caenimonas;N;N;E;Environmental;Freshwater, soil;Environmental isolate;;;;;
;Caldalkalibacillus;N;N;E;Environmental;Hot springs;Thermophilic bacterium;;;;;
;Caldatribacteriota JS1;N;N;E;Environmental;Sediment;Environmental lineage;;;;;
;Calderihabitans;N;N;E;Environmental;Hydrothermal vents;Extremophile;;;;;
;Calderihabitantaceae;N;N;E;Environmental;Hydrothermal vents;Extremophile family;;;;;
;Caldibacillus;N;N;E;Environmental;Hot springs;Thermophilic bacterium;;;;;
G;Caldicoprobacter;PP;1;O;Ubiquitous;Hot springs, Anaerobic digester;Environmental, engineered habitats;;;;;
;Caldilineaceae;N;N;E;Environmental;Hot springs, Sediment;Thermophilic environmental bacteria;;;;;
;Caldisalinibacter;N;N;E;Environmental;Saline hot springs;Extremophile;;;;;
;Caldisericales LF045;N;N;E;Environmental;Sediment;Environmental isolate;;;;;
;Caldisericales WCHB1-02;N;N;E;Environmental;Sediment;Environmental isolate;;;;;
;Caldisericum;N;N;E;Environmental;Hot springs;Thermophile;;;;;
;Calditerricola;N;N;E;Environmental;Geothermal soil;Extremophile;;;;;
;Caldithrix;N;N;E;Environmental;Hydrothermal vents;Extremophile;;;;;
;Calditrichaceae;N;N;E;Environmental;Hydrothermal vents;Extremophile family;;;;;
;Calditrichaceae JdFR-76;N;N;E;Environmental;Hydrothermal vents;Extremophile;;;;;
;Calditrichaceae SM23-31;N;N;E;Environmental;Hydrothermal vents;Extremophile;;;;;
;Caldora VP642b;N;N;E;Environmental;Marine environment;Marine isolate;;;;;
;Calenema;N;N;E;Environmental;Anaerobic environments;Environmental isolate;;;;;
;Calidifontibacter;N;N;E;Environmental;Soil;Environmental actinobacterium;;;;;
;Caloramatoraceae;N;N;O;Ubiquitous;Anaerobic digester;Environmental, engineered habitats;;;;;
;Caloranaerobacter;N;N;E;Environmental;Hydrothermal vents;Extremophile;;;;;
;Calorithrix;N;N;E;Environmental;Cyanobacterial mats;Environmental cyanobacterium;;;;;
;Calothrix KVSF5;N;N;E;Environmental;Cyanobacterial mats;Environmental cyanobacterium;;;;;
;Camelimonas;N;N;E;Environmental;Soil, Water;Environmental isolate;;;;;
;Caminicella;N;N;E;Environmental;Hydrothermal vents;Thermophilic bacterium;;;;;
;Campylobacter;P;2;W;Anthropogenic;Animal gut, Clinical;Pathogenic bacteria;;;;;
F;Campylobacterales;PP;N;O;Ubiquitous;Animal gut, Environment;Pathogens, environmental species;;;;;
;Campylobacterales CH8-1-BAC;P;2;W;Anthropogenic;Animal gut;Host-associated;;;;;
;Campylobacterales P6-b51;P;2;W;Anthropogenic;Animal gut;Host-associated;;;;;
;Campylobacterales Rs-M59 termite group;P;2;E;Environmental;Animal, Termite gut;Insect gut symbiont;;;;;
;Campylobacterota CH8-1-BAC;P;2;W;Anthropogenic;Animal gut;Pathogenic group;;;;;
;Candidatus Abawacabacteria;N;N;E;Environmental;Sediment, Groundwater;Environmental candidate phylum;;;;;
;Candidatus Accumulibacter;N;N;W;Anthropogenic;Wastewater sludge;Phosphate-removing bacteria in WWTP;;;;;
;Candidatus Actinomarina;N;N;E;Environmental;Marine;Marine planktonic bacteria;;;;;
;Candidatus Adlerbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Allobeggiatoa;N;N;E;Environmental;Marine Sediment;Sulfur-oxidizing filamentous bacteria;;;;;
;Candidatus Alysiosphaera;N;N;E;Environmental;Marine;Environmental candidate phylum;;;;;
;Candidatus Amesbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Amoebophilus;N;N;E;Environmental;Amoeba, Host organism;Symbiont of protozoa;;;;;
;Candidatus Amphibiichlamydia;N;N;E;Environmental;Amphibian Host organism;Host-associated pathogen;;;;;
;Candidatus Anadelfobacter;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Anammoximicrobium;N;N;O;Ubiquitous;Sediment, Wastewater;Anammox bacteria in environment, WWTP;;;;;
;Candidatus Aquiluna;N;N;E;Environmental;Freshwater;Environmental freshwater plankton;;;;;
;Candidatus Aquirestis;N;N;E;Environmental;Freshwater;Environmental freshwater plankton;;;;;
;Candidatus Arcanobacter;N;N;E;Environmental;Animal, Host organism;Host-associated pathogen;;;;;
;Candidatus Arthromitus;N;N;E;Environmental;Animal gut;Host-associated gut symbiont;;;;;
;Candidatus Azambacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Babela;N;N;E;Environmental;Amoeba, Host organism;Protozoan symbiont;;;;;
;Candidatus Bacilloplasma;N;N;E;Environmental;Crustacean gut;Host-associated symbiont;;;;;
;Candidatus Bealeia;N;N;E;Environmental;Marine Sediment;Environmental candidate phylum;;;;;
;Candidatus Beckwithbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Benitsuchiphilus;N;N;E;Environmental;Insect gut;Insect symbiont;;;;;
;Candidatus Berkiella;N;N;E;Environmental;Amoeba, Host organism;Protozoan symbiont;;;;;
;Candidatus Brennerbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Brocadia;N;N;O;Ubiquitous;Wastewater, Sediment;Anammox bacteria in environment, WWTP;;;;;
;Candidatus Buchananbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Campbellbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Captivus;N;N;W;Anthropogenic;Host organism;Symbiont, pathogen;;;;;
;Candidatus Chisholmbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Chloroploca;N;N;E;Environmental;Freshwater Sediment;Filamentous bacteria;;;;;
;Candidatus Cloacimonas;N;N;W;Anthropogenic;Wastewater;Anaerobic wastewater bacterium;;;;;
;Candidatus Collierbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Colwellbacteria;N;N;E;Environmental;Marine;Environmental planktonic bacteria;;;;;
;Candidatus Competibacter;N;N;W;Anthropogenic;Wastewater;Polyphosphate-accumulating bacteria;;;;;
;Candidatus Cryptoprodotis;N;N;E;Environmental;Marine;Environmental candidate phylum;;;;;
;Candidatus Curtissbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Daviesbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Desulfamplus;N;N;E;Environmental;Sediment;Sulfate-reducing bacteria;;;;;
;Candidatus Dichloromethanomonas;N;N;E;Environmental;Anaerobic Sediment;Chlorinated compound degrader;;;;;
;Candidatus Doudnabacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Electronema;N;N;E;Environmental;Freshwater;Cable bacteria in sediments;;;;;
;Candidatus Electrothrix;N;N;E;Environmental;Freshwater;Cable bacteria in sediments;;;;;
;Candidatus Endobugula;N;N;E;Environmental;Marine invertebrate Host organism;Symbiont of bryozoans;;;;;
;Candidatus Endoecteinascidia;N;N;E;Environmental;Marine invertebrate Host organism;Host-associated;;;;;
;Candidatus Endonucleariobacter;N;N;E;Environmental;Amoeba, Host organism;Symbiont of protozoa;;;;;
;Candidatus Entotheonella;N;N;E;Environmental;Marine sponge;Symbiont of sponges;;;;;
;Candidatus Falkowbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Finniella;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Flaviluna;N;N;E;Environmental;Freshwater;Environmental freshwater bacterium;;;;;
;Candidatus Fritschea;N;N;E;Environmental;Insect, Host organism;Insect symbiont, pathogen;;;;;
;Candidatus Gigarickettsia;N;N;E;Environmental;Insect, Host organism;Host-associated symbiont;;;;;
;Candidatus Giovannonibacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Gortzia;N;N;E;Environmental;Paramecium Host organism;Protozoan symbiont;;;;;
;Candidatus Hemobacterium;N;N;W;Anthropogenic;Host organism;Symbiont, pathogen;;;;;
;Candidatus Hepatincola;N;N;O;Ubiquitous;Host organism;Symbiont, pathogen;;;;;
;Candidatus Hepatoplasma;N;N;O;Ubiquitous;Host organism;Symbiont, pathogen;;;;;
;Candidatus Jacksonbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Jidaibacter;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Jorgensenbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Kaiserbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Kapabacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Kerfeldbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Komeilibacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Koribacter;N;N;E;Environmental;Soil;Environmental bacterium;;;;;
;Candidatus Kuenenbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Latescibacter;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Levybacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Limnoluna;N;N;E;Environmental;Freshwater;Environmental freshwater bacterium;;;;;
;Candidatus Lindowbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Liptonbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Lloydbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Lumbricincola;N;N;E;Environmental;Earthworm gut;Host-associated symbiont;;;;;
;Candidatus Magasanikbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Magasanikbacteria ABY1;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Magnetananas;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Magnetomorum;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Marispirochaeta;N;N;E;Environmental;Marine Sediment;Environmental bacterium;;;;;
;Candidatus Marithioploca;N;N;E;Environmental;Marine Sediment;Sulfur-oxidizing filamentous bacteria;;;;;
;Candidatus Megaira;N;N;E;Environmental;Amoeba, Host organism;Protozoan symbiont;;;;;
;Candidatus Mesochlamydia;N;N;E;Environmental;Protozoa Host organism;Endosymbiont;;;;;
;Candidatus Metachlamydia;N;N;E;Environmental;Protozoa Host organism;Endosymbiont;;;;;
;Candidatus Methylomirabilis;N;N;O;Ubiquitous;Sediment, Wastewater;Anaerobic methane oxidizer;;;;;
;Candidatus Methylopumilus;N;N;E;Environmental;Freshwater;Planktonic freshwater bacterium;;;;;
;Candidatus Methylopumilus planktonicus;N;N;E;Environmental;Freshwater;Planktonic freshwater bacterium;;;;;
;Candidatus Microthrix;N;N;W;Anthropogenic;Wastewater;Filamentous bacteria in WWTP;;;;;
;Candidatus Midichloria;N;N;E;Environmental;Tick Host organism;Host-associated symbiont, pathogen;;;;;
;Candidatus Moranbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Navis;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Nealsonbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Nitrosoarchaeum;N;N;E;Environmental;Sediment;Environmental archaeon;;;;;
;Candidatus Nitrotoga;N;N;O;Ubiquitous;Wastewater, Sediment;Nitrifying bacteria in WWTP, environment;;;;;
;Candidatus Nitrotoga sp CP45;N;N;W;Anthropogenic;Wastewater;Engineered system isolate;;;;;
;Candidatus Nitrotoga sp LAW;N;N;W;Anthropogenic;Wastewater;Engineered system isolate;;;;;
;Candidatus Nitrotoga sp MKT;N;N;W;Anthropogenic;Wastewater;Engineered system isolate;;;;;
;Candidatus Nomurabacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Nostocoida;N;N;O;Ubiquitous;Wastewater, Sediment;Wastewater, environmental habitats;;;;;
;Candidatus Nucleicultrix;N;N;E;Environmental;Protozoa Host organism;Endosymbiont;;;;;
;Candidatus Obscuribacter;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Odyssella;N;N;E;Environmental;Amoeba, Host organism;Protozoan symbiont;;;;;
;Candidatus Omnitrophus;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Ovatusbacter;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Pacebacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Paceibacter;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Paenicardinium;N;N;E;Environmental;Insect, Host organism;Host-associated symbiont;;;;;
;Candidatus Paracaedibacter;N;N;E;Environmental;Amoeba, Host organism;Protozoan symbiont;;;;;
;Candidatus Paraholospora;N;N;E;Environmental;Insect gut;Host-associated symbiont;;;;;
;Candidatus Peregrinibacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Peribacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Phaeomarinobacter;N;N;E;Environmental;Marine Sediment;Environmental bacterium;;;;;
;Candidatus Photodesmus;N;N;E;Environmental;Marine Host organism;Symbiont;;;;;
;Candidatus Planktoluna;N;N;E;Environmental;Freshwater;Planktonic freshwater bacterium;;;;;
;Candidatus Planktophila;N;N;E;Environmental;Freshwater;Planktonic freshwater bacterium;;;;;
;Candidatus Planktophila dulcis;N;N;E;Environmental;Freshwater;Planktonic freshwater bacterium;;;;;
;Candidatus Planktophila lacus;N;N;E;Environmental;Freshwater;Planktonic freshwater bacterium;;;;;
;Candidatus Planktophila limnetica;N;N;E;Environmental;Freshwater;Planktonic freshwater bacterium;;;;;
;Candidatus Planktophila sulfonica;N;N;E;Environmental;Freshwater;Planktonic freshwater bacterium;;;;;
;Candidatus Planktophila vernalis;N;N;E;Environmental;Freshwater;Planktonic freshwater bacterium;;;;;
;Candidatus Planktophila versatilis;N;N;E;Environmental;Freshwater;Planktonic freshwater bacterium;;;;;
;Candidatus Portiera;N;N;E;Environmental;Insect, Host organism;Endosymbiont of whiteflies;;;;;
;Candidatus Portnoybacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Promineofilum breve;N;N;W;Anthropogenic;Wastewater;Filamentous bacterium in WWTP;;;;;
;Candidatus Protistobacter;N;N;E;Environmental;Protozoa Host organism;Symbiont of ciliates;;;;;
;Candidatus Protochlamydia;N;N;E;Environmental;Amoeba, Host organism;Endosymbiont, pathogen;;;;;
;Candidatus Puniceispirillum;N;N;E;Environmental;Marine;Environmental marine bacterium;;;;;
;Candidatus Raymondbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Regiella;N;N;E;Environmental;Insect, Host organism;Symbiont of aphids;;;;;
;Candidatus Renichlamydia;N;N;E;Environmental;Amoeba, Host organism;Endosymbiont;;;;;
;Candidatus Rhabdochlamydia;N;N;E;Environmental;Insect, Host organism;Endosymbiont, pathogen;;;;;
;Candidatus Riegeria;N;N;E;Environmental;Marine Host organism;Symbiont of marine invertebrates;;;;;
;Candidatus Roizmanbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Rubidus;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Ryanbacteria;N;N;E;Environmental;Sediment;Environmental candidate phylum;;;;;
;Candidatus Saccharimonas;N;N;E;Environmental;Human, Gut;Human-associated symbiont;;;;;
